gameT,hitTime,drift,musicT,lane,laneLabel,type
0.5067,0.4986,0.0081,0.7626,0,A,TAP
4.176,4.1558,0.0202,4.432,0,A,TAP
7.8933,7.8768,0.0165,8.1493,0,A,TAP
11.552,11.5397,0.0123,11.808,0,A,TAP
13.424,13.4031,0.0209,13.68,0,A,TAP
15.2587,15.2549,0.0038,15.5146,0,A,TAP
16.4267,16.3985,0.0282,16.6826,1,S,TAP
17.0933,17.0777,0.0156,17.3493,0,A,TAP
18.2613,18.2503,0.011,18.5173,0,A,TAP
18.9333,18.9179,0.0154,19.1893,2,D,TAP
20.1067,20.0789,0.0278,20.3626,0,A,TAP
20.768,20.7581,0.0099,21.024,1,S,TAP
21.9253,21.9191,0.0062,22.1813,0,A,TAP
22.6453,22.6157,0.0296,22.9013,0,A,TAP
23.7653,23.765,0.0003,24.0213,1,S,TAP
24.48,24.45,0.03,24.736,0,A,TAP
25.6427,25.611,0.0317,25.8986,0,A,TAP
26.352,26.3425,0.0095,26.608,2,D,TAP
27.5253,27.4977,0.0276,27.7813,0,A,TAP
28.1547,28.1536,0.0011,28.4106,1,S,TAP
30.032,30.017,0.015,30.288,0,A,TAP
31.1893,31.1548,0.0345,31.4453,0,A,TAP
31.8987,31.8572,0.0415,32.1546,1,S,TAP
33.0187,33.0008,0.0179,33.2746,0,A,TAP
33.7227,33.7032,0.0195,33.9786,0,A,TAP
34.88,34.8642,0.0158,35.136,2,D,TAP
35.552,35.5434,0.0086,35.808,0,A,TAP
36.7627,36.7276,0.0351,37.0186,1,S,TAP
36.8427,36.8205,0.0222,37.0986,0,A,TAP
37.3867,37.3777,0.009,37.6426,0,A,TAP
38.544,38.5387,0.0053,38.8,0,A,TAP
39.2533,39.2469,0.0064,39.5093,1,S,TAP
40.416,40.3847,0.0313,40.672,0,A,TAP
40.5387,40.5124,0.0263,40.7946,0,A,TAP
41.0827,41.0755,0.0072,41.3386,2,D,TAP
42.2453,42.2365,0.0088,42.5013,0,A,TAP
42.368,42.3584,0.0096,42.624,1,S,TAP
42.9493,42.9215,0.0278,43.2053,0,A,TAP
44.1067,44.0999,0.0068,44.3626,0,A,TAP
44.784,44.7675,0.0165,45.04,1,S,TAP
45.9573,45.9227,0.0346,46.2133,0,A,TAP
46.6293,46.6251,0.0042,46.8853,0,A,TAP
47.7867,47.7687,0.018,48.0426,1,S,TAP
47.9093,47.8964,0.0129,48.1653,0,A,TAP
48.4907,48.4769,0.0138,48.7466,0,A,TAP
49.648,49.6205,0.0275,49.904,2,D,TAP
49.7707,49.7308,0.0399,50.0266,0,A,TAP
50.3573,50.3229,0.0344,50.6133,1,S,TAP
51.5147,51.4723,0.0424,51.7706,0,A,TAP
54.544,54.009,0.535,54.8,0,A,TAP
54.544,53.3124,1.2316,54.8,0,A,TAP
58.5547,57.7126,0.8421,58.8106,2,D,TAP
58.5547,57.0044,1.5503,58.8106,0,A,TAP
58.5547,55.8608,2.6939,58.8106,0,A,TAP
58.5547,55.1584,3.3963,58.8106,1,S,TAP
66.56,66.3562,0.2038,66.816,2,D,TAP
66.56,66.2576,0.3024,66.816,0,A,TAP
66.56,65.0966,1.4634,66.816,0,A,TAP
66.56,64.876,1.684,66.816,1,S,TAP
66.56,64.5335,2.0265,66.816,0,A,TAP
66.56,64.4116,2.1484,66.816,0,A,TAP
66.56,64.3013,2.2587,66.816,1,S,TAP
66.56,64.1852,2.3748,66.816,0,A,TAP
66.56,64.0749,2.4851,66.816,2,D,TAP
66.56,63.953,2.607,66.816,0,A,TAP
66.56,63.2506,3.3094,66.816,0,A,TAP
66.56,62.5656,3.9944,66.816,1,S,TAP
66.56,61.4046,5.1554,66.816,0,A,TAP
66.56,61.1898,5.3702,66.816,0,A,TAP
66.56,60.8299,5.7301,66.816,0,A,TAP
66.56,60.7196,5.8404,66.816,0,A,TAP
66.56,60.6151,5.9449,66.816,1,S,TAP
66.56,60.4932,6.0668,66.816,0,A,TAP
66.56,60.3771,6.1829,66.816,0,A,TAP
66.56,60.2668,6.2932,66.816,1,S,TAP
66.56,59.5586,7.0014,66.816,0,A,TAP
82.5333,81.6814,0.8519,82.7893,2,D,TAP
